,sick,healthy,not_in_sick,not_in_healthy
0,82,390,35,142
1,100,484,17,48
2,82,390,35,142
3,0,0,117,532
4,0,0,117,532
5,0,0,117,532
6,0,0,117,532
7,75,358,42,174
8,0,0,117,532
9,0,0,117,532
10,0,0,117,532
11,0,0,117,532
12,0,0,117,532
13,0,0,117,532
14,100,484,17,48
15,0,0,117,532
16,0,0,117,532
17,0,0,117,532
18,0,0,117,532
19,75,357,42,175
20,0,0,117,532
21,0,0,117,532
22,0,0,117,532
23,0,0,117,532
24,99,479,18,53
25,99,483,18,49
26,99,479,18,53
27,98,479,19,53
28,99,479,18,53
29,0,0,117,532
30,0,0,117,532
31,99,479,18,53
32,98,479,19,53
33,96,459,21,73
34,0,0,117,532
35,0,0,117,532
36,0,0,117,532
37,0,0,117,532
38,0,0,117,532
39,0,0,117,532
40,72,335,45,197
41,71,353,46,179
42,72,341,45,191
43,69,334,48,198
44,70,324,47,208
45,66,296,51,236
46,70,339,47,193
47,65,309,52,223
48,66,298,51,234
49,66,296,51,236
50,65,309,52,223
51,94,457,23,75
52,66,298,51,234
53,63,295,54,237
54,88,414,29,118
55,64,286,53,246
56,0,0,117,532
57,0,0,117,532
58,64,296,53,236
59,89,420,28,112
60,0,0,117,532
61,0,0,117,532
62,63,295,54,237
63,64,286,53,246
64,64,296,53,236
65,0,0,117,532
66,0,0,117,532
67,98,477,19,55
68,98,462,19,70
69,96,456,21,76
70,97,463,20,69
71,0,2,117,530
72,2,9,115,523
73,78,378,39,154
74,99,478,18,54
75,93,442,24,90
76,94,446,23,86
77,95,464,22,68
78,90,414,27,118
79,92,425,25,107
80,93,442,24,90
81,85,417,32,115
82,91,441,26,91
83,86,403,31,129
84,89,417,28,115
85,90,423,27,109
86,91,423,26,109
87,91,432,26,100
88,85,393,32,139
89,95,443,22,89
90,96,456,21,76
91,0,0,117,532
92,0,0,117,532
93,0,0,117,532
94,0,0,117,532
95,100,467,17,65
96,95,441,22,91
97,94,420,23,112
98,88,420,29,112
99,0,0,117,532
100,0,0,117,532
101,80,385,37,147
102,76,368,41,164
103,98,472,19,60
104,97,452,20,80
105,88,425,29,107
106,94,448,23,84
107,89,408,28,124
108,92,424,25,108
109,92,428,25,104
110,94,430,23,102
111,93,438,24,94
112,89,399,28,133
113,92,436,25,96
114,87,404,30,128
115,90,413,27,119
116,90,418,27,114
117,92,417,25,115
118,87,395,30,137
119,0,0,117,532
120,79,381,38,151
121,77,371,40,161
122,72,356,45,176
123,94,448,23,84
124,92,428,25,104
125,94,430,23,102
126,93,438,24,94
127,86,421,31,111
128,86,401,31,131
129,0,0,117,532
130,0,0,117,532
131,99,467,18,65
132,0,0,117,532
133,0,0,117,532
134,0,0,117,532
135,0,2,117,530
136,95,442,22,90
137,0,0,117,532
138,0,0,117,532
139,79,376,38,156
140,95,441,22,91
141,95,455,22,77
142,93,420,24,112
143,94,434,23,98
144,87,412,30,120
145,90,413,27,119
146,95,452,22,80
147,0,0,117,532
148,0,0,117,532
149,88,420,29,112
150,0,0,117,532
151,0,0,117,532
152,0,0,117,532
153,0,0,117,532
154,0,0,117,532
155,0,0,117,532
156,0,0,117,532
157,0,0,117,532
158,0,0,117,532
159,0,0,117,532
160,0,0,117,532
161,76,368,41,164
162,93,438,24,94
163,0,0,117,532
164,83,394,34,138
165,63,295,54,237
166,88,414,29,118
167,88,415,29,117
168,88,415,29,117
169,88,414,29,118
170,0,1,117,531
171,1,5,116,527
172,64,286,53,246
173,85,400,32,132
174,85,400,32,132
175,70,323,47,209
176,82,382,35,150
177,0,1,117,531
178,1,4,116,528
179,91,424,26,108
180,0,0,117,532
181,0,0,117,532
182,64,296,53,236
183,88,420,29,112
184,89,420,28,112
185,89,420,28,112
186,69,334,48,198
187,87,400,30,132
188,95,457,22,75
189,71,337,46,195
190,88,404,29,128
191,68,314,49,218
192,88,414,29,118
193,70,323,47,209
194,82,382,35,150
195,69,334,48,198
196,87,400,30,132
197,95,452,22,80
